student code,"q3a: You used a single fixed pulley to lift a watermelon to your tree house.  If you changed it to a single movable pulley and ignore the effects of friction, the distance pulled would:

Correct option = 1, ""Increase""",,q3b: Explain your reasoning about the distance pulled. ,q3b code,"q3c: the applied force required would: 

Correct option = 2, ""Decrease""",,q3d:Explain your reasoning about the applied force required. ,q3d code,"q4: Which of the following will require less applied force to lift a load to a height of 2 meters using a single fixed pulley? 

Correct option = 1, ""A well-oiled pulley""",,q4a: Explain your reasoning about the applied force required. ,q4a code,"q7a1: You used a single fixed pulley to lift a watermelon to your tree house.  If you used a single movable pulley instead and ignore the effects of friction, the applied force needed would: 

Correct option = 2, ""Decrease""",,q7a2: Explain your reasoning about the applied force needed.,q7a2 code,"q7b1: ...the work done would: 

Correct option = 3, ""Stay the same""",,q7b2: Explain your reasoning about the work done.,q7b2 code,"q9: Jane is lifting a box straight up to a height of 1 meter. Mary is using the pulley shown below to lift the same box to the same height.  If you ignore friction, what can you tell about the work done by Jane and Mary?

Correct option = 3, ""Jane and Mary are doing the same work""",,q9a: Explain your reasoning about the work done in this question.,q9a code,"q10: Which of the following will require more work to lift a load to a height of 2 meters if you are using a single fixed pulley? 

Correct option = 2, ""A rusty pulley that needs to be oiled""",,q10a: Explain your reasoning about the work required. ,q10a code,"q11: Jacob uses a fixed pulley to lift a box 1 meter. He then uses the same pulley to lift an identical box 2 meters. In which condition did Jacob do more work?

Correct option = 2, ""When lifting the box 2 meters""",,q11a: Explain your reasoning about the work done in this question.,q11a code,"q13: If you ignore friction, which one of the following pulley set-ups will give the most mechanical advantage?
 
Correct option =  4, ""A double compound pulley""",,q13a: Explain your reasoning about mechanical advantage in this question.,q13a code,"q14: If you ignore friction, which one of the following pulley set-ups will give more mechanical advantage?

Correct option = 3, ""Pulley set-up A and Pulley set-up B will give you the same mechanical advantage""",,q14a: Explain your reasoning about mechanical advantage in this question.,q14a code
Pulley9-10-46,1,Increase,you would have more suppporting strands so you would have to pull farther than you would before.,2,2,Decrease,you would hve more suppporting strands so you wouldn't have to use so much force.,2,1,A well-oiled pulley,it will run more smoothly. soyou don't have to pull it so hard.,1,2,Decrease,more supporting strands.,2,2,Decrease,as your A.F. goes down the work will go down because the formula for work is F*D=W   F=force D=distance W=work,0,2,Mary is doing more work,she is using a simple machine so it helps her anyway.,0,1,A well-oiled pulley,it will require less less force to get it where it needs to go and force is in the formula for work and you multiply the numbers so if one number goes down the product goes down. ,0,2,When lifting the box 2 meters,you will have to do twice the distance so the work will go down because work=force*distance.,1,4,A double compound pulley,if you have more supporting strands you will have more M.A..,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,they have the same number of supporting strands.,2
Pulley9-10-45,3,Stay the same,The distance would increase because the number of supporting starands will go up.,2,2,Decrease,It would decrease because the single fixed has less MA then what a movable has making the movables applied force go down. ,2,1,A well-oiled pulley,This way there would be less friction on the pulley wheel.,2,2,Decrease, The A.F. would decrease because the MA in a movable is greater which makes it applied force go down.,2,1,Increase,Because you would be pulling it a farther way.,0,1,Jane is doing more work,Jane is doing more work because she is doing all of the moving of the object and the object is not getting pulled up by a Machein,0,2,A rusty pulley that needs to be oiled,It will require more work because there would be more friction in a rusty pulley then in a oiled one.,2,2,When lifting the box 2 meters,he is doing more work because he is pulling the object a greater distance.,1,4,A double compound pulley,A double compound pulley will give you more MA because it has more supporting strands.,2,2,Pulley set-up B,It will give you more MA because it has more pulleys,0
Pulley9-10-44,1,Increase,"There is more string in a movable pulley than a fixed, thus a longer distance.",0,2,Decrease,"The more supporting strands, the less AF.",2,1,A well-oiled pulley,"It won't be as hard to pull, so it would be less AF.",1,2,Decrease,same as 3d,1,2,Decrease,"f*d=work, so if the force decreases, so will the work!",0,1,Jane is doing more work,"Jane has to apply more force, which would cause her to do more work.",0,1,A well-oiled pulley,"the force needed decreases when the pulley is well oiled, so the work would be less.",0,2,When lifting the box 2 meters,"the distance increases, so the work increases, according to the formula f*d=w",2,4,A double compound pulley,"The double compound has more supporting strands, so it has more MA.",2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,"The amount of supporting strands has not increased, so the MA has not increased either.",2
Pulley9-10-43,1,Increase,The distance would increase because with a movable pulley the pulley moves around so that would make the distance increase becasue of the string being shortend then inlargened.,1,2,Decrease,Using a movable pulley makes the load move a lot easier making the force less because of the distance.,1,1,A well-oiled pulley,A well oiled pulley will decrease the amount of friction so it makes the work and force easier. If it was rusty then it require more force because of the friction.,2,2,Decrease,Using the movable pulley it makes the distance greater making the force less and making.,2,3,Stay the same,If work goes up distance goes down then work stays the same.,2,1,Jane is doing more work,Jane is doing more work because she is applying more force. Mary on the other hand doesnt barely have to do as much work because all she is doing is pulling a string down but the pulley lessens the force.,0,1,A well-oiled pulley,There is less friction and it helps because then the person doesnt have to pull so hard to get through the rust.,2,2,When lifting the box 2 meters,With a fixed pulley he uses a lot more force and going two more meters its more force.,0,4,A double compound pulley,since the person is using less force then the ma goes up.,1,2,Pulley set-up B,The force is going down so the ma is going up.,0
Pulley9-10-42,2,Decrease,It would take less distance to lift,0,2,Decrease,A movable pulley requires less force to pull that a movable one,1,1,A well-oiled pulley,A well oiled one will be smooth and slid easy,1,2,Decrease,A movable pulley requires less force to pull that a movable one,1,2,Decrease,the movable reqires less work that a fixed,0,1,Jane is doing more work,using a pulley requires less work,0,1,A well-oiled pulley,A well oiled one will be smooth and slid easy,1,1,When lifting the box 1 meter,lifting it farthur r3quires more work,1,4,A double compound pulley,the one with the most compund pulleys will have more ma,1,1,Pulley set-up A,set up b is very hard to pull,0
Pulley9-10-41,1,Increase,there's more string on a movable pulley.,0,1,Increase,single fixed pulleys are easier to work with than movable pulleys.,1,1,A well-oiled pulley,an oiled pulley would run smoother.,1,1,Increase,"movable pulleys have more string, so you have to do more work to pull more string.",0,1,Increase,more string to pull.,0,2,Mary is doing more work,pulling the string up which is usually harder for people.,0,2,A rusty pulley that needs to be oiled,a rusty pulley won't run as smoothley because it will be dried out and it won't work as well.,1,2,When lifting the box 2 meters,"because he had to double the distance of what he pulled before, so he did the same thing twice basically.",2,1,One fixed pulley,there's not a lot of string or pulleys that you have to keep pulling on to raise the load up.,0,1,Pulley set-up A,"not a lot of string, not a long way to pull.",0
Pulley9-10-40,3,Stay the same,You have to change the hight if you want to change the distance.,0,3,Stay the same,The applied force only chnages when you add or take away more pullies.,0,1,A well-oiled pulley,If you use a rusty pulley it will add more friction but if you use an oiled pulley it will move quicker.,2,2,Decrease,friction makes the af increase so if you take friction away the af will decrease.,0,3,Stay the same,The work will stay the same unless the task changes.,2,1,Jane is doing more work,Pulleys make work easier because the force of gravity will help bring your hand down.,0,1,A well-oiled pulley,A rusty pulley adds more friction and oiled pulley takes away friction so it would move faster.,2,2,When lifting the box 2 meters,work changes if you change the task they changed the tack bye having the box go higher so they are doing more work.,1,4,A double compound pulley,The more pulleys you add the less af,1,1,Pulley set-up A,because you are using one pulley the ma is larger,0
Pulley9-10-4,3,Stay the same,It would stay the same because it does not matter what you us it aleays stays the same.,0,3,Stay the same,It would not matter what you did.,0,1,A well-oiled pulley,Because id you dont have it it well be harder to move it.,1,1,Increase,It would because you are pullting it up.,0,4,Not enough information to decide,Because ou need to see the other stuff.,0,3,Jane and Mary are doing the same work,They are because it doesent mmatter.,1,2,A rusty pulley that needs to be oiled,Because it will be more harder to lift.,1,3,The amount of work done was the same,because it doesent matter witch one you use.,0,3,One movable pulley,Because it will make it easyer.,0,2,Pulley set-up B,Because it has more to move there is  two  of them.,0
Pulley9-10-39,1,Increase,More distance means less applied force,2,1,Increase,It would increase while the distance went decreased,0,3,Both pulleys will require the same applied force,Because you are using the same pulley and you are lifting the same amount of load,0,3,Stay the same,It would stay the same because there is no friction,0,3,Stay the same,Work stays the same when there is no friction,1,3,Jane and Mary are doing the same work,I dont know,0,1,A well-oiled pulley,I dont know,0,2,When lifting the box 2 meters,I dont know,0,2,Two fixed pulleys,I dont know,0,2,Pulley set-up B,I dont know,0
Pulley9-10-38,3,Stay the same,The distance will stay the same because your going the same distance to lift the object.,0,2,Decrease,The force would decrease because of having do do less work. The work would go down because of the pulley being movable.,1,1,A well-oiled pulley,The force will be the least using a well-oiled pulley because it's a smooth surface which causes the amount of friction to go down.,2,2,Decrease,The force would decrease because when you use a movable pulley the load is attached to the pulley which is like a lever because you want the load to be closer to the fulcrum.,1,3,Stay the same,The work done would stay the same because when there's no friction then the work will always be the same. The only time work changes is when there's friction or the height changes.,3,3,Jane and Mary are doing the same work,They are both doing the same amount of work because they're lifting the item to the same height. If the height was different or the pulley had friction then the work would've been different.,3,2,A rusty pulley that needs to be oiled,The rusty pulley will require more work because of having more friction. It will be rough and bumpy making it harder to pull.,2,2,When lifting the box 2 meters,Jacob did more work on the box when lifting it 2 meters because you need to have a longer distance to have less force and less work. A shorter distance will create more applied force and more work.,1,4,A double compound pulley,A double compound pulley gives the most mechanical advantage because the distance is greater than the other pulley set ups. ,2,2,Pulley set-up B,Pulley set up B will give more mechanical advantage because it has a longer distance than set up A. ,0
Pulley9-10-37,2,Decrease,Because you are using a single movable pulley and that could give you less distance to pull it up.,0,1,Increase,More work to do and more force would be needed to pull it up.,0,1,A well-oiled pulley,A rusted pulley would create friction and give yu more work while a well oiled pulley will give you less work but possibly the sane amount of force.,1,2,Decrease,Because the pulley wil give you less work needed.,0,2,Decrease,Different pulleys can do different things to help certain things.,0,3,Jane and Mary are doing the same work,If you use a pulley or you lift the box up you are techneclly doing the same amount of work anytine.,2,2,A rusty pulley that needs to be oiled,A rusty pulley will create more applied force there for creating more work.,2,2,When lifting the box 2 meters,He did more work when he lifted the box 2meters because he lifted it a greater distance than the other box.,1,4,A double compound pulley,A double compound pulley will give you more MA because you have more pulleys to help you do your work.,1,2,Pulley set-up B,Double the pulleys the more the work.,0
Pulley9-10-36,1,Increase,"It would increase because, when you use a single movable pulley it will have increase the distance.",1,1,Increase,I don't know.,0,1,A well-oiled pulley,A rusty pulley that needs to be oiled with affect the friction but a well-oiled pulley will ignore the friction.,2,1,Increase,I think if you change the single fixed pulley to a single movable pulley it will increase the applied force because the MA would go down and then the Applied force would go up. ,0,2,Decrease,The work would decrease because when the applied force goes up then the work goes down.,0,1,Jane is doing more work,"Well, since Mary is using a pulley it will be less Applied Force and less Applied Force = less work",0,2,A rusty pulley that needs to be oiled,It would require more work because it has more friction becuase of the rusty pulley.,2,2,When lifting the box 2 meters,I think he did more work when bring the box higher because he is doing more work raising it.,1,1,One fixed pulley,MA = the amount of pulley wheels.,0,1,Pulley set-up A,Pulley set-up A because it has only 1 pulley wheel.,0
Pulley9-10-35,1,Increase,"in would have to go up and down, twice the distace of just going up.",0,2,Decrease,the more distace you have the less aplied force you need.,2,1,A well-oiled pulley,there would be less friction. less friction means less force.,2,3,Stay the same,the distance is the same for the pulley and just bringing it up.,0,3,Stay the same,"the work will never change, just the distance and force.",2,3,Jane and Mary are doing the same work,"only the force and distances are changing, not the work. ",2,2,A rusty pulley that needs to be oiled,"the force will increase with the distace staying the same, increasing work.",2,2,When lifting the box 2 meters,"the force stayed the same while the distance increased, increasing work.",2,4,A double compound pulley,for MA you want a lot of stig pulled and little object movement. double compound pulleys give you those circumstances.,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,"you will pull the same disance in both, and the load will move the same distance in both.",2
Pulley9-10-34,3,Stay the same,it wouldn't matter,0,2,Decrease,in one of the expeiments we use a single movable and a single fixed pulley and the movable used less applied force,1,1,A well-oiled pulley,it will cause less friction,2,2,Decrease,because there is no friction,0,2,Decrease,there is no friction that means less work,,1,Jane is doing more work,using a pulley is much more efficent than just lifting it,0,2,A rusty pulley that needs to be oiled,because it increases friction,2,2,When lifting the box 2 meters,he is lifting the object to a bigger hight wich you will have to use more applied force,1,2,Two fixed pulleys,we found this out in a lab,0,2,Pulley set-up B,you are giving more applied force which increases th MA,0
Pulley9-10-33,3,Stay the same,"The way you pull would definitely change, but the distance that you pull weould stay the same.",0,2,Decrease,"A fixed pulley does not reduce the amount of force, but a movable pulley does.",1,1,A well-oiled pulley,"When the pulley is well oiled, the friction goes down. When the friction goes down, the force goes down.",2,2,Decrease,"A fixed pulley does not reduce the amount of force, but a movable pulley does. This question was repeated*",1,3,Stay the same,"Work = force x distance pulled. If the force decreases, then the distance had increased. The work stays the same.",2,4,Not enough information to decide,"I would needd to know the load, force, distance moved, and distance pulled.",0,2,A rusty pulley that needs to be oiled,"Work = force x distance pulled. The distance would stay the same, but the force went up. This means the work goes up.",2,2,When lifting the box 2 meters,"The distance pulled increased, but the force stayed the same. Lifting the box two meters is more work.",2,4,A double compound pulley,MA = distance pulled/distance the object moved. The more pulleys requires pulling th string further. The load moves the same height every time. What this means is that the top part of the fraction goes up while the bottom stays the same.,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,I have no idea.,0
Pulley9-10-32,1,Increase,"in movable pulleys, you have to use more distance than if you would use a normal fixed pulley",1,2,Decrease,"if the distance you pull goes up, then the force would go down.",2,3,Both pulleys will require the same applied force,the single fixed is like a lever with the force and load equal distances away from the fulcrum ,0,2,Decrease,"the distance you pull would go up, so the force would go down",2,1,Increase,"your distance would increase, so the work would increase",0,2,Mary is doing more work,"she is pulling the string a further distance, so she would be doing more work",0,2,A rusty pulley that needs to be oiled,"the more friction you use, the more applied force. the more applied force you need, the more work",2,2,When lifting the box 2 meters,"he would use more distance, so he would do more work",1,4,A double compound pulley,you would pull a lot more distance than you would lift the load,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,you would be pulling the string the same distance,2
Pulley9-10-31,1,Increase,idk,0,2,Decrease,idk,0,4,Not enough information to decide,u dont know maybe the oil thing is sticky increasing friction who knows? stay tuned to find out,0,2,Decrease,compounds make lifting heavy objects use less applied force,1,3,Stay the same,"because the test said ""and ignore the effects of friction"" so the work would stay the same",1,1,Jane is doing more work,cause mary would need less applied force while jane would have a harder time lifting it up.,0,4,Not enough information to decide,what???? you dont know the answer well i cant tell you that would be cheating. duh,0,1,When lifting the box 1 meter,because he had less distance needed to move the object,0,4,A double compound pulley,A double compound pulley uses less applied force and would increase the MA by a lot,1,4,Not enough information to decide,un-known,0
Pulley9-10-30,3,Stay the same,You would still be lifting the watermelon the same height.,0,2,Decrease,"In a single fixed pulley, applied force does not change.",1,1,A well-oiled pulley,"In a well-oiled pulley, there would be less friction, so the load would lift easier.",2,2,Decrease,"In a single fixed pulley, the applied force does not change.",1,1,Increase,You would need to pull the string a longer distance.,0,1,Jane is doing more work,In a pulley the work is spread out over a longer distance so the work is easier.,0,4,Not enough information to decide,work = AF x Distance,0,2,When lifting the box 2 meters,"work = force x distance, so more work is needed. ",1,4,A double compound pulley,"MA = distance pulled/distance moved, so there is more distance making more MA",2,2,Pulley set-up B,"In pulley set-up B, you need to pull a longer distance.",0
Pulley9-10-3,1,Increase,It would increase because when we did our experiments when we used the single fixed it moved about .20m but when we used the single movable it moved about .25m.,1,2,Decrease,It would decrease because you are exerting the force over a greater distance which would make it easier and when we did our experiments the force also went down.,2,1,A well-oiled pulley,A well-oiled pulley would require less amount of force because the oil makes it so there is less friction which would then give you less of a load to pull.,2,2,Decrease,It would decrease because when you use a movable pulley you pull it over a greater distance then you would be using the force over a longer distance making it less hard to pull the watermelon up.,2,2,Decrease,It would decrease because the work formula is distance string is pulled/distance object moved and the distance moved stays the same so the distance pulled would be the only thing changing their work. the movable you have to pull a greater distance so that one would be less work.,0,3,Jane and Mary are doing the same work,They are doing the same work because it is pulled/moved so the pulled and moved would be the same so then the work would be too.,1,3,Both pulleys will require the same work,Both would require the same work because the formula is pulled/moved and they are both staying the same so the work would also be the same.,0,,,it would be the same because in one he is moving more in the pulled area but in the other one he is moving more distance moved so they would be the same.,0,4,A double compound pulley,Because the machine is doing more of the work giving you more of an advantage.,1,1,Pulley set-up A,Because This test is getting to long and I dont remember how to get MA!!!,0
Pulley9-10-298,3,Stay the same,its a different pulley but the distance pulled stays the same because their both a single pulley which would use the same amount of string.,0,3,Stay the same,it uses the same distance pulled making it no easier at the same not any harder.,0,1,A well-oiled pulley,a well oiled pulley will work better by not getting stuck or jammed.,1,3,Stay the same,it uses the same amount of string needed to be pulled which makes it no harder but no easier and the A.F. stays the same.,0,3,Stay the same,everything would stay the same including the work because lifting it used the same amount of A.F. amount of string pulled and the amount of work needed to be done would stay the same.,1,1,Jane is doing more work,simple machines always use less work having to be done than a straight up lift so jane is doing more work with a straight up lift than mary is with a pulley.,0,2,A rusty pulley that needs to be oiled,well becuase it could get stuck jammed break the string or cause friction on the string with the pulley.,2,2,When lifting the box 2 meters,well because he lifted the load to a higher distance which is harder which would equal him doing more work.,1,1,One fixed pulley,well because its easier to use uses less string than the two fixed pulleys and is easier to use than the other two.,0,1,Pulley set-up A,it uses less string and has a lower chance of getting stuck. ,0
Pulley9-10-297,1,Increase,In a single fixed the distance pulled is the same as the distance moved. In a single movable the distance pulled is greater than the distance moved.,1,2,Decrease,A single fixed pully does not decrease the AF. A single movable decreases AF.,1,1,A well-oiled pulley,Friction increases the amount of AF needed. A well oiled pully has less friction than a rusted pully.,2,2,Decrease,Single fixed pullies do not reduce AF. Single movable pullies do.,1,3,Stay the same,You are still bringing the load up the same distance.,3,3,Jane and Mary are doing the same work,"Work only changes if you change the height, load. or friction.",3,3,Both pulleys will require the same work,The work only changes if you do a different job.,0,2,When lifting the box 2 meters,He is lifting the box higher.,1,4,A double compound pulley,In a double compound pulley the distance pulled is increased which gives you more MA.,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,Single fixed pullies give you a MA of 1.Adding a second one will not matter.,1
Pulley9-10-296,3,Stay the same,the idstacne would stay the same because u r usin the same amount of string around pully.,0,2,Decrease,moveable pullys require less aplied force.,1,1,A well-oiled pulley,friction makes aplied force higher.,2,2,Decrease,moveable pully reduce force compared to fixed.,1,2,Decrease,work would decrese since force did.,0,2,Mary is doing more work,pullys reduce force.,0,1,A well-oiled pulley,friction makes more force m=which makes more work.,2,3,The amount of work done was the same,"because force is same, which makes work same",0,4,A double compound pulley,"greater ma is the best, double compound makes MA go up.",1,2,Pulley set-up B,since there is 1 more pully it helps Ma,0
Pulley9-10-295,2,Decrease,The moveable pulley moves with you so the distance you pull is less.,0,2,Decrease,"Because in a fixed pulley the MA is always one since the distance you pull = the distance the load goes up, but in a moveable pulley has a greater MA so the applied force is greater.",2,1,A well-oiled pulley,Because a rusty pulley produses friction so it will require more applied force to lift the load.,2,2,Decrease,A moveable pulley moves with you so you dont have to pull as much.,1,3,Stay the same,Force decreases distance increases work stays the same,2,3,Jane and Mary are doing the same work,"Jane is using more force but less distance, but Mary is using less force, but more distance but both equal same amount of work.",2,1,A well-oiled pulley,"A rusty pulley has more friction which is more applied force, less MA.",2,2,When lifting the box 2 meters,Force is the same distance is greater so work equals force times distance so liftling box 2 is more work.,2,4,A double compound pulley,The more compound pulley the more MA.,1,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,No matter how many fixed pulleys you have the MA is one.,1
Pulley9-10-294,1,Increase,"the force decreases, so to do the same work you have to increase distance.",2,2,Decrease,"distance increases, so therefore you must decrease the force to get the same work",2,1,A well-oiled pulley,"there will be less friction, so there will be less resisting the force.",2,2,Decrease,"it increases the distance you have to pull, so it must decrease the force.",2,3,Stay the same,"the force decreases and the length increases, so therefore the work must stay the same.",2,3,Jane and Mary are doing the same work,they are both doing the exact same task so it is the same work.,2,2,A rusty pulley that needs to be oiled,"the distance will stay the same but the force will increase, so it will upset the balance. therefore, more work.",2,2,When lifting the box 2 meters,"the force stayed the same but the distance pulled increases, so the work will increase.",2,4,A double compound pulley,"MA is when you divide length pulled over distance object moved, and a compound pulley has more distance to pull and the same to move, so it will be a bigger number.",2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,"you still pull the same distance, and the object moves the same distance.",2
Pulley9-10-293,2,Decrease,"With a single movible pulley, the distance decreases.",0,2,Decrease,"With a longer string, the applied force spreads out.",1,1,A well-oiled pulley,The well-oiled pulley is smoother which will make it easier.,1,2,Decrease,"With a longer distance string, there is less applied force ",2,2,Decrease,With less applied force there is less work,0,1,Jane is doing more work,It is harder to lift something streight up than to use a pulley ,0,1,A well-oiled pulley,It will have less friction,0,2,When lifting the box 2 meters,"When there is a longer distance to be lifted, there is more work.",1,4,A double compound pulley,"With a DCP, there is more MA because the Applied force is more spread out.",2,2,Pulley set-up B,With more string there is more apllied force spread out.,0
Pulley9-10-292,3,Stay the same,you decide how far you pull it if you want it half way up you pull it that far,0,2,Decrease,single movible pulleys give you more ma decreasing the applied force,2,1,A well-oiled pulley,i think that an oiled pulley would make the supporting starnd glide over the pulley better than a rusty one that will not spin as much so it takes more energy to just get the pulley wheel to move ,1,2,Decrease,i dont know,0,1,Increase,i dont know,0,1,Jane is doing more work,jane is just lifting the box so she lifts all ten pounds lets say while mary is only lifting five pounds,0,1,A well-oiled pulley,the supporting strand will glide over it better,1,3,The amount of work done was the same,he did not need to do any more work to lift that box an extra meter,0,4,A double compound pulley,more pulleys equals more MA,1,2,Pulley set-up B,with two wheels he has to do less work,0
Pulley9-10-291,3,Stay the same,Because the distance pulled would stay the same because you are just adding one more wheel and not the location of where the load is going.,0,2,Decrease,because a movable uses less a.f.,1,4,Not enough information to decide,i don't know,0,3,Stay the same,because you are ignoring friction.,0,2,Decrease,because your are ignoring friction.,0,2,Mary is doing more work,i don't know.,0,1,A well-oiled pulley,because it would work better????????!!!!!!!!!,0,2,When lifting the box 2 meters,because it is higher.,1,4,A double compound pulley,because ma = distance pulled divided by distance moved,1,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,because they are both the same but no matter how many wheels you have the ma stays the same.,1
Pulley9-10-290,3,Stay the same,Distance wouldnt change if you never added more string the supporting strand would stay the same and would only be one long piece of string.,0,1,Increase,work times distance pulled is the equation for A.F. so A.F. im guessing would increase since ure useing a moveable pulley when a sing fixed pulley im thinking would require less applied force to bring the watermelon to the top of the treehouse.,0,1,A well-oiled pulley,the well oiled pulley will move up cleanly and smoothly instead of worrying about harsh friction like a rusty pulley which may even cut or wear out the string used to lift it 2 meters so the A.F. would be less likely to increase with a well oiled pulley.,2,2,Decrease,with a single moveable pulley and the option to ignore friction u wouldnt have to worry about any rough places on string or bumps on the pulley and u could decrease all A.F. easyily with no problem.,1,1,Increase,the work would increase as the A.F. decreases because of the a.f. decreasing there may also be more strane and strength behind the user to lift the watermelon to the top of a treehouse.,0,3,Jane and Mary are doing the same work,IDK,0,3,Both pulleys will require the same work,IDK,0,1,When lifting the box 1 meter,IDK,0,,,IDK,0,2,Pulley set-up B,IDK,0
Pulley9-10-29,3,Stay the same,the friction would stay the same because its the same pulley so it wouldn't change just because you changed the location of the pulley,0,3,Stay the same,the force would stay the same because the pulley is just in  a different spot then when your useing a fixed pulley,0,1,A well-oiled pulley,A rusty pulley would create a lot of friction so the force would increase,2,3,Stay the same,the force would stay the same because the pulley just moved from being fixed to something to being connected to the load itself,0,3,Stay the same,just because the pulley is in a different spot doesn't mean that the work would change because nither the force or the distance pulled would change,0,3,Jane and Mary are doing the same work,they will do the same amount of work because jane's distance went down but her force went up while mary's force went down but her distance went up,2,2,A rusty pulley that needs to be oiled,a rusty pulley will requier more work because it means than you need to use for force to lift an object and the distance pulled doesn't change,2,2,When lifting the box 2 meters,in lifting an object 2 meters with the same pulley as when you lifted the same object to 1 meter you would have the same force but a greater distance,2,4,A double compound pulley,the equation for ma of a pulley is length pulled divided by length lifted so with a greater distance pulled ratio to distance the object was lifted would give you the greatest ma,,2,Pulley set-up B,you have to pull the object farther to lift it a little waise with the second pulley compared to the first pulley,0
Pulley9-10-289,3,Stay the same,If the load and the height being lifted is the same less applied force.,0,3,Stay the same,It would stay the same because load and height lifted are the same.,0,3,Both pulleys will require the same applied force,It does not matter if the pulley is well oiled or not.,0,3,Stay the same,It does not matter as long as the load and height being lifted are the same.,0,4,Not enough information to decide,I dont know.,0,3,Jane and Mary are doing the same work,If the load is the same and you are lifting to the same height then work and applied force would be the same.,3,1,A well-oiled pulley,Because there will be more friction which means less applied force.,0,2,When lifting the box 2 meters,Because applied force is less which means less applied force.,0,4,A double compound pulley,because the number of supporting stard the number of MA you hace so it all depends for MA of how many supporting strands you have.,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,Because A has a MA of 1 because the number of supporting strands and B has a MA of 1 too. ,2
Pulley9-10-288,3,Stay the same,you cant move the tree house,0,2,Decrease,a movable you have to pull up,0,4,Not enough information to decide,it did not tell any oil put on,0,1,Increase,it you put friction it will make it harder to pull,0,2,Decrease,i dont know,0,1,Jane is doing more work,jane did the most work because she lefted with her hand,0,1,A well-oiled pulley,i dont know,0,2,When lifting the box 2 meters,he lift it by 1,1,4,A double compound pulley,it is easier to pull,1,1,Pulley set-up A,i guest,0
Pulley9-10-287,2,Decrease,it would decrease because the single moveable pulley requiers you to use less force ,0,2,Decrease,this would also decrease because using a single fixed movabale pulley will use less force than just a fixed pulley,1,1,A well-oiled pulley,a well oiled pully would work the best because it would have alot of friction ,2,2,Decrease,it would decrease because in our experiments i have learned that the single movable pulley requiers less force ,1,3,Stay the same,it would stay the same because you are pulling the same distance ,0,3,Jane and Mary are doing the same work,jane is doing the same work because they are lifting the box to the same distance ,3,1,A well-oiled pulley,"well oiled pulley would work the best because it wouldnt have as much friction as the other pulleys, because friction reduces the movement of an object.",0,1,When lifting the box 1 meter,lifting to one meter would require less work because lifting a box higher would increase the amount of work done ,1,4,A double compound pulley,a double compuond weould have more ma because it would require less force ,1,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,the same ma because it gives you the same applied  force ,1
Pulley9-10-286,1,Increase,null,0,,,,0,1,A well-oiled pulley,because it will be more smooth on the pulley wheel and will be more easy to pull,1,3,Stay the same,because you are ignoring friction,0,3,Stay the same,because you are ignoring friction ,1,1,Jane is doing more work,pulleys make work easier,0,1,A well-oiled pulley,because it will be more smooth,0,2,When lifting the box 2 meters,becausse he lifted it higher,1,4,A double compound pulley,because it has more pulley wheels,1,2,Pulley set-up B,because it has more pulley wheels,0
Pulley9-10-285,1,Increase,becus the pully wheel is moving on the stiring and not the other way around ,0,1,Increase,u need to pull the weight of the pully wheel and the load with no help,0,1,A well-oiled pulley,the wheel will turn easyer and make the job much easyer,1,1,Increase,the wieght of the pully wheel and the lod is being lifted with no help,0,1,Increase,there is not a suporting stand,0,1,Jane is doing more work,mary has a pully to help her but the M.A. mary has some suporting strands jane has none,0,3,Both pulleys will require the same work,they have the same amount of suporting strands,0,3,The amount of work done was the same,the work is the same cuz the same amount of suporting strands,0,4,A double compound pulley,the more strands the more macanical addvantage,2,3,Pulley set-up A and Pulley set-up B will give you the same mechanical advantage ,both have one suporting stands,2
Pulley9-10-284,1,Increase,When you pull a single movable pulley you have to pull it up so it is harder.,0,1,Increase,it would increase because it is harder to pull up.,0,1,A well-oiled pulley,a well oiled pulley because if it is rusty it is harder.,1,1,Increase,it would increase because you are pulling up.,0,1,Increase,well if you are trying to lift it up with a single movable pulley mine as well just lift it up without a pulley.,0,1,Jane is doing more work,the pulley is reducing the applied force.,0,,,it is easier to use a well oiled pulley because it goes through the pulley easier.,1,2,When lifting the box 2 meters,He did more work lifting it 2m because it is higher.,1,4,A double compound pulley,it reduces the applied force so the MA goes up.,1,1,Pulley set-up A,pulley set A because the applied force is going down.,0
